Country Name,Country Code,Population_2012,Population_2017,Population_2018,Pop_Growth_2012,Pop_Growth_GDP_2017,Pop_Growth_GDP_2018,GDP_Capita_2012,GDP_Capita_2017,GDP_Capita_2018,GDP_Capita_Growth_2012,GDP_Capita_Growth_2017,GDP_Capita_Growth_2018,GDP_2012,GDP_2017,GDP_2018,GDP_Growth_2012,GDP_Growth_2017,GDP_Growth_2018,Corruption Perception Index,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
Honduras,HND,8640691,9429013,9587522,1.869298244,1.692228879,1.667103614,2129.521698,2432.935364,2482.730206,2.200291905,3.029693168,2.030375238,18400538970,22940179174,23803230473,4.128687749,4.788026945,3.745584746,29,LATIN AMER. & CARIB,7326496,112090,654,73,-199,2932,2600,762,675,955,322,8723,2,2824,528,139,312,549
Croatia,HRV,4267558,4124531,4089400,-0.305655945,-1.200610165,-0.855405633,13250.75712,13383.6835,14869.09068,-2.001562119,4.164495376,3.51149294,56548374545,55201417479,60805659436,-2.300642858,2.921363374,2.629826089,49,EASTERN EUROPE,4494749,56542,795,1032,158,684,10600,985,4204,2609,227,7165,,961,1148,7,308,622
Haiti,HTI,10250930,10982366,11123176,1.480132666,1.305066708,1.273996399,769.7073834,765.6139847,868.2847996,1.37347407,-0.13852073,0.199182913,7890216508,8408252995,9658084644,2.885095378,1.173279505,1.483883035,22,LATIN AMER. & CARIB,8308504,27750,2994,638,-34,7345,1600,529,169,283,1161,6009,2,3644,1217,28,2,52
Hungary,HUN,9920362,9787966,9768785,-0.516437607,-0.265860932,-0.19615739,12888.30459,14278.8745,15938.8368,-1.122076866,4.414292063,5.146469097,1.27857E+11,1.39761E+11,1.55703E+11,-1.631403337,4.137063937,4.940418685,45,EASTERN EUROPE,9981334,93030,1073,0,86,857,13900,994,3362,5009,206,4785,3,972,1311,37,312,651
Indonesia,IDN,248452413,264645886,267663435,1.351892192,1.175102592,1.133769861,3694.348946,3836.913814,3893.596078,4.606284255,3.83998242,3.985604226,9.1787E+11,1.01542E+12,1.04217E+12,6.030050653,5.067406366,5.171270328,37,ASIA (EX. NEAR EAST),245452739,1919440,1279,285,0,356,3200,879,520,1132,723,8145,2,2034,625,134,458,408
India,IND,1265782790,1338658835,1352617328,1.231622928,1.062597394,1.03732336,1443.879529,1981.499045,2015.590485,4.165528082,6.035154528,5.87831683,1.82764E+12,2.65255E+12,2.72632E+12,5.456387552,7.167888861,6.982333556,40,ASIA (EX. NEAR EAST),1095351995,3287590,3332,21,-7,5629,2900,595,454,544,274,4286,25,2201,818,186,276,538
Ireland,IRL,4599533,4807388,4853506,0.423743803,1.088675561,0.954742911,48917.89756,69649.88274,78806.432,-0.198086891,6.974330301,7.142041169,2.24999E+11,3.34834E+11,3.82487E+11,0.225714814,8.145296135,8.169870971,74,WESTERN EUROPE,4062235,70280,578,206,499,539,29600,980,5005,152,3,8477,3,1445,782,5,46,49
"Iran, Islamic Rep.",IRN,75539862,80673951,81800269,1.205151389,1.385380473,1.386479705,7927.647542,5627.749268,,-8.553295826,2.327694199,,5.98853E+11,4.54013E+11,,-7.44455703,3.755187367,,30,ASIA (EX. NEAR EAST),68688433,1648000,417,15,-84,4158,7000,794,2764,872,139,8989,1,17,555,116,424,46
Iraq,IRQ,31890011,37552781,38433600,3.720640652,2.540874669,2.318464028,6836.027313,5143.661232,5878.038566,9.775158059,-4.13822292,-1.673833337,2.18001E+11,1.93159E+11,2.25914E+11,13.93643017,-1.671287156,0.632455398,18,NEAR EAST,26783383,437072,613,1,0,5025,1500,404,386,1315,78,8607,1,3198,537,73,666,261
Iceland,ISL,320716,343400,353574,0.532100735,2.345582676,2.919685018,45910.0209,71314.7742,73201.70255,0.758868483,2.17876477,1.601307982,14724078264,24489493459,25882218777,1.296436095,4.603781379,4.611476029,77,WESTERN EUROPE,299388,103000,29,483,238,331,30900,999,6477,7,0,9993,3,1364,672,86,15,765
Israel,ISR,7910500,8713300,8883800,1.846151321,1.938725674,1.937879943,32543.45515,40543.58417,41613.99808,0.248269466,1.458420393,1.326103835,2.57435E+11,3.53268E+11,3.6969E+11,2.116193517,3.44461203,3.30883147,62,NEAR EAST,6352117,20770,3058,131,68,703,19800,954,4623,1639,417,7944,3,1797,618,26,317,657
Italy,ITA,59539717,60536709,60431283,0.26954124,-0.149861117,-0.174304004,34814.12512,32155.20587,34318.35112,-3.080603909,1.836681901,1.034213504,2.07282E+12,1.94657E+12,2.0739E+12,-2.819013779,1.68418261,0.858260216,50,WESTERN EUROPE,58133509,301230,1930,252,207,594,26700,986,4309,2779,953,6268,,872,104,21,291,688
Jamaica,JAM,2842132,2920853,2934855,0.571731466,0.50162356,0.47823514,5206.906722,5060.544924,5355.582639,-1.181513082,0.473292316,1.370319338,14798716216,14781107822,15717858487,-0.614918541,0.978556223,1.856268892,44,LATIN AMER. & CARIB,2758124,10991,2509,930,-492,1236,3900,879,1240,1607,1016,7377,2,2082,652,49,337,615
